flat_id;period;cold_water;hot_water;power_supply;sewage
1153530;01.09.2024;19,4;16,04;248;35,44
1153530;01.10.2024;6,049;4,074;230;10,123
1153531;01.09.2024;8,4833;12,1516;220,26;20,6349
1153531;01.10.2024;8,4833;12,1516;240,064;20,6349
1153532;01.09.2024;5;3;108;8
1153532;01.10.2024;6,702;4,867;247;11,569
1153533;01.09.2024;5,9116;10,4666;262,99;16,3782
1153533;01.10.2024;5,754;10,357;274,082;16,111
1153534;01.09.2024;7;5;217;12
1153534;01.10.2024;7;4;183;11
1153535;01.09.2024;2,5;2;135;4,5
1153535;01.10.2024;25,5;21;215;46,5
1153537;01.09.2024;7;5;174;12
1153537;01.10.2024;8;5;265;13
1153538;01.09.2024;7,64;6,345;117,795;13,985
1153538;01.10.2024;12,56;10,72;175,31;23,28
1153539;01.09.2024;4,24;4,15;159,95;8,39
1153539;01.10.2024;3,35;3,98;143,15;7,33
1153540;01.09.2024;10,158;5,9145;229,64;16,0725
1153540;01.10.2024;10,158;5,9145;229,64;16,0725
1153541;01.09.2024;1;1,011;62;2,011
1153541;01.10.2024;2;1;273;3
1153544;01.09.2024;2,3;2;85,25;4,3
1153544;01.10.2024;2,4;1,8;114;4,2
1153545;01.09.2024;5,411;5,637;182;11,048
1153545;01.10.2024;3;4,3;174;7,3
1153546;01.09.2024;4,85;4,01;160;8,86
1153546;01.10.2024;4,85;4,01;160;8,86
1153547;01.09.2024;0,58;0,2833;49,75;0,8633
1153547;01.10.2024;2,582;0,298;78,189;2,88
1153548;01.09.2024;4,7;6;63;10,7
1153548;01.10.2024;5,5;3,9;125;9,4
1153549;01.09.2024;2,9;0,8;141;3,7
1153549;01.10.2024;3,1;1,1;173;4,2
1153550;01.09.2024;4,85;2,8333;70,17;7,6833
1153550;01.10.2024;2,252;2,609;75,979;4,861
1153551;01.09.2024;5,51;5,26;173,215;10,77
1153551;01.10.2024;5,94;5,25;187,39;11,19
1153552;01.09.2024;12;13;194;25
1153552;01.10.2024;13;14;186;27
1153553;01.09.2024;3,49;4,59;192,28;8,08
1153553;01.10.2024;3,48;6,11;213,45;9,59
1153554;01.09.2024;0;0;0;0
1153554;01.10.2024;0;0;29;0
1153555;01.09.2024;0,4;0,5;198;0,9
1153555;01.10.2024;0,5;0,5;79;1
1153556;01.09.2024;3,7788;5,9666;120,84;9,7454
1153556;01.10.2024;3,7788;5,9666;120,84;9,7454
1153556;01.11.2024;10,783;0;131,414;10,783
1153557;01.09.2024;0,75;4,01;57,948;4,76
1153557;01.10.2024;0,8325;4,01;57,15;4,8425
1153558;01.09.2024;4,1421;3,9863;163,01;8,1284
1153558;01.10.2024;1,967;1,967;5,409;3,934
1153559;01.09.2024;14,14;0,15;433,73;14,29
1153559;01.10.2024;18,13;0;507,5;18,13
1153560;01.09.2024;8;3;93;11
1153560;01.10.2024;8;3;97;11
1153561;01.09.2024;10,6666;4,01;184,84;14,6766
1153561;01.10.2024;4,918;2,459;82,131;7,377
1153562;01.09.2024;3,035;4,57;108,6;7,605
1153562;01.10.2024;3,41;5,54;108,85;8,95
1153566;01.09.2024;6,4;0;245,51;6,4
1153566;01.10.2024;8,5;0;297,57;8,5
1153567;01.09.2024;3;2;75;5
1153567;01.10.2024;4;2;52;6
1153568;01.09.2024;13;11;202;24
1153568;01.10.2024;13;10;196;23
1153569;01.09.2024;2,232;2,2863;57,86;4,5183
1153569;01.10.2024;1,63;2,283;8,152;3,913
1153570;01.09.2024;10;0;268;10
1153570;01.10.2024;7;0;202;7
1153571;01.09.2024;2;3;130;5
1153571;01.10.2024;2;3;0;5
1153572;01.09.2024;4,85;4,01;160;8,86
1153572;01.10.2024;4,85;4,01;160;8,86
1153573;01.09.2024;9,7;8,02;256;17,72
1153573;01.10.2024;9,7;8,02;256;17,72
1153574;01.09.2024;4;3;108;7
1153574;01.10.2024;4;2;104;6
1153575;01.09.2024;1,955;3,134;90,642;5,089
1153575;01.10.2024;6,3;7,7;191;14
1153576;01.09.2024;0;0;3;0
1153576;01.10.2024;0;0;0;0
1153577;01.09.2024;14,55;12,03;270;26,58
1153577;01.10.2024;14,55;3,618;270;18,168
1153578;01.09.2024;1;1;66;2
1153578;01.10.2024;1;1;80;2
1153579;01.09.2024;4,93;4,525;70,17;9,455
1153579;01.10.2024;2,444;1,564;64,426;4,008
1153581;01.09.2024;3;1;90;4
1153581;01.10.2024;2;2;79;4
1153583;01.09.2024;4,955;4,82;193,315;9,775
1153583;01.10.2024;4,5645;4,476;204,34;9,0405
1153583;01.11.2024;10,89;0;171,624;10,89
1153584;01.09.2024;4;4;121;8
1153584;01.10.2024;7;6;130;13
1153585;01.09.2024;4,85;4,01;135;8,86
1153585;01.10.2024;4,85;4,01;125;8,86
1153585;01.11.2024;2,334;0;147;2,334
1153586;01.09.2024;3;1;100;4
1153586;01.10.2024;3;2;136;5
1153587;01.09.2024;8;0;235;8
1153587;01.10.2024;11;0;424;11
1153588;01.09.2024;4,85;4,01;126,31;8,86
1153588;01.10.2024;4,85;4,01;160;8,86
1153589;01.09.2024;7,3333;5;255,66;12,3333
1153589;01.10.2024;8,361;5,41;254,754;13,771
1153590;01.09.2024;6,1666;8,02;441;14,1866
1153590;01.10.2024;6,885;8,02;387,541;14,905
1153591;01.09.2024;2;0;58;2
1153591;01.10.2024;2;0;50;2
1153592;01.09.2024;8,825;6,354;139,9;15,179
1153592;01.10.2024;9,649;8,887;118,76;18,536
1153593;01.09.2024;6;6;100;12
1153593;01.10.2024;5;5;90;10
1153594;01.09.2024;3,6;1,1;210;4,7
1153594;01.10.2024;4,4;2;367;6,4
1153596;01.09.2024;5;5;78;10
1153596;01.10.2024;5;6;74;11
1153597;01.09.2024;12;0;278;12
1153597;01.10.2024;12;0;304;12
1153598;01.09.2024;7,1666;4,3333;833,66;11,4999
1153598;01.10.2024;17,705;2,459;195,246;20,164
1153599;01.09.2024;3,43;0;189;3,43
1153599;01.10.2024;2,14;0;267;2,14
1153600;01.09.2024;4,85;3,8;160;8,65
1153600;01.10.2024;1,134;3,4;100,925;4,534
1153601;01.11.2024;13;2;113;15
1153604;01.09.2024;8,9103;0;277,11;8,9103
1153604;01.10.2024;7,869;0;240,418;7,869
1153604;01.11.2024;10;0;273,87;10
1153608;01.09.2024;3,02;1,22162;55,276;4,167
1153608;01.10.2024;2,9826;1,76693;78,02;4,6416
1153608;01.11.2024;4,94;1,80208;128,091;6,632
1153610;01.09.2024;9;4,26024;116;13
1153610;01.10.2024;6;4,26024;133;10
1153610;01.11.2024;10;5,3253;144;15
1153612;01.09.2024;8,02;12,78072;206,03;20,02
1153612;01.10.2024;0;0;0;0
1153612;01.11.2024;2;4,26024;78,98;6
1153614;01.09.2024;1,9;2,23663;219,2;4
1153614;01.10.2024;3,1;1,27807;295;4,3
1153614;01.11.2024;3;2,13012;117;5
1153620;01.09.2024;5;9,58554;165,7;14
1153620;01.10.2024;5;7,45542;124,5;12
1153620;01.11.2024;5;7,66215;113;12,1941
1153622;01.09.2024;4,85;4,27089;132;8,86
1153622;01.10.2024;4,85;4,27089;132;8,86
1153622;01.11.2024;4,85;4,27089;132;8,86
1153624;01.09.2024;3,85;2,99282;76,45;6,66
1153624;01.10.2024;3,85;2,99282;58,033;6,66
1153624;01.11.2024;3,85;2,99282;67,55;6,66
1153629;01.09.2024;14,55;12,81267;189;26,58
1153629;01.10.2024;5,255;3,05353;161,363;8,122
1153629;01.11.2024;5,6216;3,49159;171,5;8,8999
1153631;01.09.2024;14;24,38987;121;36,9
1153631;01.10.2024;15;20,34265;85;34,1
1153631;01.11.2024;15,4;20,66216;78;34,8
1153637;01.09.2024;9,7;8,54178;234;17,72
1153637;01.10.2024;9,7;8,54178;234;17,72
1153637;01.11.2024;9,7;8,54178;234;17,72
1153639;01.09.2024;4,85;4,27089;80;8,86
1153639;01.10.2024;4,85;4,27089;29;8,86
1153639;01.11.2024;4,85;4,27089;545;8,86
1153640;01.09.2024;9,7;8,54178;234;17,72
1153640;01.10.2024;9,7;8,54178;234;17,72
1153640;01.11.2024;17,4613;0,69068;234;17,72
1153643;01.09.2024;4,59;6,59272;51,3;10,78
1153643;01.10.2024;3,0811;5,08034;79;7,8511
1153643;01.11.2024;3,0811;7,41857;62,93;10,0465
1153646;01.09.2024;0,756;1,76813;7,813;2,426
1153646;01.10.2024;0,726;1,76813;7,76;2,396
1153646;01.11.2024;0,726;1,76813;7,76;2,396
1153648;01.09.2024;5,039;10,35558;263,67;14,762
1153648;01.10.2024;4,9833;10,24225;260,84;14,5999
1153648;01.11.2024;4,9833;10,24225;260,84;14,5999
1153652;01.09.2024;3,42;3,65316;69,73;6,85
1153652;01.10.2024;6,64;6,59272;86,89;12,83
1153652;01.11.2024;7,37;6,41166;107,05;13,39
1153662;01.08.2024;8,86;27,6868;197,83;8,86
1153662;01.09.2024;8,86;27,1966;129,836;8,86
1153662;01.10.2024;8,86;25,5781;200;8,86
1154444;01.06.2024;6,98;10,37;178,19;17,35
1154444;01.08.2024;8,35;9,36;148,65;17,71
1154444;01.09.2024;8,22;11,81;151,45;20,03
1154444;01.10.2024;7,035;9,6783;165,75;16,7133
1154445;01.06.2024;4,85;4,01;162;8,86
1154445;01.08.2024;4,85;4,01;162;8,86
1154445;01.09.2024;4,85;4,01;162;8,86
1154445;01.10.2024;4,85;4,01;162;8,86
1154446;01.06.2024;9,7;8,02;68;17,72
1154446;01.08.2024;9,7;8,02;68;17,72
1154446;01.09.2024;9,7;8,02;68;17,72
1154446;01.10.2024;5,7887;4,7861;68;10,5748
1154448;01.08.2024;4,44;2,68;65;7,12
1154448;01.09.2024;7,1;5,3;83;12,4
1154448;01.10.2024;9,82;5,03;83;14,85
1154449;01.08.2024;8,3333;7,8333;97,33;16,1666
1154449;01.09.2024;7,377;9,344;98,36;16,721
1154449;01.10.2024;8;10;99;18
1154450;01.08.2024;3,1;1,8;106,73;4,9
1154450;01.09.2024;3,8;3,2;105,58;7
1154450;01.10.2024;4,1;2,8;105,58;6,9
1154460;01.09.2024;8,7;5,01;177;13,71
1154460;01.10.2024;8,7;5,01;177;13,71
1154460;01.11.2024;8,7;5,01;177;13,71
1154464;01.09.2024;6,755;0;219,521;6,755
1154464;01.10.2024;6,7;0;257;6,7
1154464;01.11.2024;6,8;0;240;6,8
1154465;01.09.2024;9,7;8,02;186;17,72
1154465;01.10.2024;9,7;8,02;186;17,72
1154465;01.11.2024;9,7;8,02;186;17,72
1154467;01.09.2024;0,4466;1,117;227,77;1,5636
1154467;01.10.2024;0,408;3,673;30;4,081
1154467;01.11.2024;9,07;6,39;172;15,46
1154497;01.09.2024;4,85;4,3333;229,83;9,1833
1154497;01.10.2024;7,033;3,934;181,967;10,967
1154497;01.11.2024;8;4;216;12
1154499;01.09.2024;11;0;394;11
1154499;01.10.2024;13;0;432;13
1154499;01.11.2024;13;0;474;13
1154501;01.09.2024;19,4;0;62;19,4
1154501;01.10.2024;19,4;0;717;19,4
1154501;01.11.2024;19,4;0;597;19,4
1154549;01.09.2024;4,85;4,01;53;8,86
1154549;01.10.2024;4,85;4,01;53;8,86
1154549;01.11.2024;4,85;4,01;53;8,86
1154946;01.09.2024;0,75;1,45;39,09;2,2
1154946;01.10.2024;0,322;0,917;48,84;1,239
1154946;01.11.2024;3,28;2,47;42,01;5,75
1155022;01.09.2024;5,8;3,34;113,49;9,14
1155022;01.10.2024;5,8;3,34;122,49;9,14
1155022;01.11.2024;5,8;3,34;124,518;9,14
1155024;01.09.2024;6,9;3,7;117;10,6
1155024;01.10.2024;5,6;3,3;122;8,9
1155024;01.11.2024;3,9;2,1;100;6
1155026;01.09.2024;9,7;8,02;23,6;17,72
1155026;01.10.2024;9,7;8,02;58;17,72
1155026;01.11.2024;2,7152;8,02;57,34;10,7352
1155035;01.08.2024;8,402;0;196,72;8,402
1155035;01.10.2024;7,3352;0,2298;271;7,565
1155035;01.11.2024;7,65;0,55;140;8,2
1155081;01.06.2024;5,3333;2,8333;104,33;8,1666
1155081;01.08.2024;5;2;100;7
1155081;01.09.2024;7;6;121;13
1155081;01.10.2024;12;0;108;12
